SKU,Compras,Ventas
1755538,11,8
1755539,25,6
1755540,25,8
1755541,25,6
1755542,14,4
1755543,6,3
1755544,3,3
1755545,4,2
1755548,4,2
1755549,4,4
1755551,7,5
1755552,28,21
1755553,1,1
1755554,16,5
1755555,17,10
1755556,3,1
1755557,23,14
1755558,2,1
1755559,6,4
1755560,14,9
1755561,11,10
1755562,10,7
1755563,4,2
1755564,8,5
1755565,5,3
1755566,9,6
1755567,6,2
1755568,5,3
1755569,9,6
1755571,8,6
1755572,16,11
1755573,5,4
1755574,13,9
1755575,21,13
1755576,5,3
1755577,11,6
1755578,5,3
1755579,8,4
1755580,10,2
1755581,7,5
1755583,5,3
1755587,15,5
1755588,4,4
1755589,8,6
1755590,5,3
1755591,2,1
1755592,5,2
1755593,3,1
1755594,3,1
1755596,54,42
1755597,5,3
1755598,30,24
1755600,19,15
1755601,22,11
1755603,7,4
1755604,3,2
1755605,5,2
1755606,3,1
1755607,5,5
1755608,16,12
1755609,3,1
1755610,4,2
1755611,5,3
1755612,3,1
1755613,4,2
1755614,3,1
1755615,3,1
1755616,20,13
1755617,11,7
1755619,10,6
1755620,3,1
1755621,37,33
1755622,25,21
1755623,1,1
1755624,6,6
1755625,5,1
1755626,2,1
1755628,3,1
